horseID,name,country_age,owner,import_type,color_sex,sire,dam,dam_sire,url
G161,PACKING TREADMILL,AUS / 5,Exciting Racing Syndicate,PPG,Chestnut / Gelding,Manhattan Rain,I'm An Outoftowner,Dane Shadow,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G161
G448,SWORD POINT,AUS / 5,Li Chi Pong,PP,Chestnut / Gelding,American Pharoah,Jazz Song,Fastnet Rock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G448
G171,MONEY CATCHER,NZ / 6,The Sunflower Syndicate,PP,Brown / Gelding,Ferlax,Warren's Sister,Savabeel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G171
H212,CHANCHENG GLORY,USA / 4,Chancheng Racing Syndicate,PPG,Brown / Gelding,Mor Spirit,Solid Scam,Consolidator,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H212
H408,COPARTNER PRANCE,AUS / 4,Copartner Spirit Syndicate,PPG,Bay / Gelding,Epaulette,Woodstock Hussey,Hussonet,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H408
C188,DUKE WAI,NZ / 8,Herman Wai Ho Man,PPG,Chestnut / Gelding,Per Incanto,Swan Lake,Green Perfume,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C188
D482,TELECOM FIGHTERS,AUS / 7,Telecom Brothers Syndicate,PP,Bay / Brown / Gelding,The Brothers War,Moorings Capital,Song Of Tara,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D482
E379,THE GOLDEN SCENERY,AUS / 6,Xiao Tan Ping,PP,Bay / Gelding,Deep Field,Saga's Gift,Real Saga,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E379
G173,ATULLIBIGEAL,AUS / 5,Zeng Shuida & Ma Yi,PP,Bay / Gelding,Street Boss,Kellys Ocean Jewel,Dansili,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G173
G231,BEAUTY CHARGE,GB / 5,Patrick Kwok Ho Chuen,PP,Bay / Gelding,Havana Gold,Poppets Sweetlove,Foxhound,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G231
